,City,Price(TL),ListingDate,Brand,Series,Model,Year,Kilometers,GearType,FuelType,BodyType,Color,EngineSize,EnginePower,DriveType,TradeInStatus,SellerType,VehicleTax(),District,DaysSinceListing,NumOriginalParts,NumLocalPaintedParts,NumPaintedParts,NumChangedParts,NumUnknownParts,HasDamage,HasHighDamage,DamageCost
885,İstanbul,2499500,2025-04-04 00:00:00,BMW,3 Serisi,320i Sport Line,2022,64500.0,Otomatik,Benzin,Sedan,Siyah,1597.0,170.0,Arkadan İtiş,Takasa Uygun,Galeriden,4.434,Ümraniye,10,13,0,0,0,0,,0,
886,Karaman,835000,2025-04-04 00:00:00,BMW,1 Serisi,116i M Sport,2013,238000.0,Otomatik,Benzin,Hatchback/5,Kırmızı,1598.0,136.0,Arkadan İtiş,Takasa Uygun,Galeriden,1.135,Merkez,10,10,0,2,1,0,,0,
887,Ankara,2175000,2025-04-04 00:00:00,BMW,3 Serisi,320i First Edition M Sport,2019,164000.0,Otomatik,Benzin,Sedan,Gri,1597.0,170.0,Arkadan İtiş,Takasa Uygun,Galeriden,7577,Sincan,10,13,0,0,0,0,,0,
888,Adana,1189750,2025-04-04 00:00:00,BMW,5 Serisi,520i Premium,2013,176989.0,Otomatik,Benzin,Sedan,Beyaz,1592.0,170.0,Arkadan İtiş,Takasa Uygun,Galeriden,1.135,Kozan,10,8,0,4,1,0,,0,
889,Ankara,1799000,2025-04-04 00:00:00,BMW,5 Serisi,520i Executive,2016,107000.0,Otomatik,Benzin,Sedan,Mavi,1592.0,170.0,Arkadan İtiş,Takasa Uygun,Galeriden,1.606,Akyurt,10,13,0,0,0,0,,0,
890,Konya,865000,2025-04-04 00:00:00,BMW,1 Serisi,116i Joy Edition,2014,169000.0,Otomatik,Benzin,Hatchback/5,Beyaz,1598.0,136.0,Arkadan İtiş,Takasa Uygun,Galeriden,1.606,Karatay,10,11,0,2,0,0,,0,
891,Karaman,1500000,2025-04-04 00:00:00,BMW,5 Serisi,525d xDrive M Sport,2012,285000.0,Otomatik,Dizel,Sedan,Füme,1995.0,218.0,4WD (Sürekli),Takasa Uygun,Galeriden,3.047,Merkez,10,13,0,0,0,0,,0,
892,Muğla,3100000,2025-04-04 00:00:00,BMW,5 Serisi,520i Special Edition M Sport,2021,80000.0,Otomatik,Benzin,Sedan,Gri,1597.0,170.0,Arkadan İtiş,Takasa Uygun,Galeriden,7577,Fethiye,10,13,0,0,0,0,,0,
893,Hatay,865000,2025-04-04 00:00:00,BMW,3 Serisi,320d M Sport,2012,236000.0,Otomatik,Dizel,Sedan,Gri (metalik),1995.0,184.0,Arkadan İtiş,Belirtilmemis,Galeriden,6314,Antakya,10,0,0,0,0,13,,0,
895,Elazığ,840000,2025-04-04 00:00:00,BMW,1 Serisi,116d ED EfficientDynamics,2014,218000.0,Düz,Dizel,Hatchback/5,Kırmızı,1598.0,116.0,Arkadan İtiş,Takasa Uygun,Galeriden,1.606,,10,10,3,0,0,0,,0,
896,İzmir,1083000,2025-04-04 00:00:00,BMW,5 Serisi,520d Comfort,2011,294000.0,Otomatik,Dizel,Sedan,Beyaz,1995.0,184.0,Arkadan İtiş,Takasa Uygun,Galeriden,3.047,Buca,10,9,1,1,2,0,,0,
898,Ankara,539000,2025-04-04 00:00:00,BMW,5 Serisi,520i Touring,1998,326000.0,Otomatik,LPG & Benzin,Station wagon,Bordo,1991.0,150.0,Arkadan İtiş,Takasa Uygun,Galeriden,1.198,Keçiören,10,0,0,0,0,13,,0,
899,İzmir,1575000,2025-04-04 00:00:00,BMW,5 Serisi,530d Exclusive,2011,250000.0,Otomatik,Dizel,Sedan,Siyah,2993.0,245.0,Arkadan İtiş,Takasa Uygun,Galeriden,6.915,Gaziemir,10,12,0,0,1,0,,0,
900,İstanbul,1750000,2025-04-04 00:00:00,BMW,5 Serisi,520i Luxury Line,2018,222500.0,Otomatik,Benzin,Sedan,Beyaz,1597.0,170.0,Arkadan İtiş,Takasa Uygun,Galeriden,4389,Ataşehir,10,5,2,2,4,0,,0,
901,Şanlıurfa,1418000,2025-04-04 00:00:00,BMW,3 Serisi,320d M Sport,2013,189000.0,Otomatik,Dizel,Sedan,Beyaz,1995.0,184.0,Arkadan İtiş,Takasa Uygun,Galeriden,3.047,Haliliye,10,13,0,0,0,0,,0,
902,Ankara,960000,2025-04-04 00:00:00,BMW,5 Serisi,520d M Sport,2010,334000.0,Otomatik,Dizel,Sedan,Siyah,1995.0,184.0,Arkadan İtiş,Takasa Uygun,Galeriden,3.047,,10,13,0,0,0,0,,0,
903,İstanbul,1275000,2025-04-04 00:00:00,BMW,3 Serisi,320i,2012,117000.0,Otomatik,Benzin,Sedan,Beyaz,1997.0,184.0,Arkadan İtiş,Takasa Uygun,Galeriden,3.047,Beykoz,10,9,2,2,0,0,,0,
904,İstanbul,3325000,2025-04-04 00:00:00,BMW,3 Serisi,320i M Sport,2024,13000.0,Otomatik,Benzin,Sedan,Siyah,1597.0,170.0,Arkadan İtiş,Takasa Uygun Değil,Galeriden,10112,Üsküdar,10,13,0,0,0,0,,0,
905,İstanbul,889500,2025-04-04 00:00:00,BMW,2 Serisi,216d Active Tourer Joy,2016,200000.0,Otomatik,Dizel,MPV,Beyaz,1496.0,116.0,Önden Çekiş,Takasa Uygun,Galeriden,1.606,Bağcılar,10,12,0,1,0,0,,0,
906,İstanbul,765000,2025-04-04 00:00:00,BMW,1 Serisi,116i Comfort,2014,160000.0,Otomatik,Benzin,Hatchback/5,Siyah,1598.0,136.0,Arkadan İtiş,Takasa Uygun,Galeriden,1.606,Sultanbeyli,10,11,0,2,0,0,,0,
907,Zonguldak,3150000,2025-04-04 00:00:00,BMW,5 Serisi,520i Special Edition Luxury,2021,65000.0,Otomatik,Benzin,Sedan,Gri,1597.0,170.0,Arkadan İtiş,Takasa Uygun Değil,Galeriden,7577,Merkez,10,13,0,0,0,0,,0,
908,Konya,1075000,2025-04-04 00:00:00,BMW,3 Serisi,316i M Sport,2012,230000.0,Otomatik,Benzin,Sedan,Siyah,1598.0,136.0,Arkadan İtiş,Takasa Uygun,Galeriden,1.135,Karatay,10,11,1,1,0,0,,0,
909,Adana,1190000,2025-04-04 00:00:00,BMW,3 Serisi,318i Sport Plus,2017,244000.0,Otomatik,Benzin,Sedan,Beyaz,1499.0,136.0,Arkadan İtiş,Takasa Uygun,Galeriden,1.606,Kozan,10,9,4,0,0,0,,0,
910,İstanbul,2650000,2025-04-04 00:00:00,BMW,5 Serisi,520i Executive M Sport,2017,70000.0,Otomatik,Benzin,Sedan,Beyaz,1592.0,170.0,Arkadan İtiş,Takasa Uygun,Galeriden,1.606,Bahçelievler,10,13,0,0,0,0,,0,
911,İstanbul,850000,2025-04-04 00:00:00,BMW,3 Serisi,316i Standart,2010,168125.0,Otomatik,Benzin,Sedan,Siyah,1596.0,116.0,Arkadan İtiş,Takasa Uygun,Galeriden,1.135,Avcılar,10,0,0,0,0,13,,0,
912,Ankara,2139000,2025-04-04 00:00:00,BMW,3 Serisi,320i First Edition Sport Line,2019,136000.0,Otomatik,Benzin,Sedan,Beyaz,1597.0,170.0,Arkadan İtiş,Takasa Uygun,Galeriden,7577,Akyurt,10,13,0,0,0,0,,0,
913,Samsun,2895900,2025-04-04 00:00:00,BMW,7 Serisi,740d xDrive Standart,2013,183145.0,Otomatik,Dizel,Sedan,Siyah,2993.0,313.0,4WD (Sürekli),Takasa Uygun,Yetkili Bayiden,6.915,Tekkeköy,10,10,0,3,0,0,,0,
914,Denizli,1490000,2025-04-04 00:00:00,BMW,5 Serisi,520d Premium,2013,235000.0,Otomatik,Dizel,Sedan,Beyaz,1995.0,184.0,Arkadan İtiş,Takasa Uygun,Galeriden,3.047,Pamukkale,10,12,0,1,0,0,,0,
916,Sakarya,2550000,2025-04-04 00:00:00,BMW,5 Serisi,520i M Sport,2017,62000.0,Otomatik,Benzin,Sedan,Beyaz,1592.0,170.0,Arkadan İtiş,Takasa Uygun,Galeriden,1.606,Erenler,10,13,0,0,0,0,,0,
917,Gaziantep,1300000,2025-04-04 00:00:00,BMW,5 Serisi,520d M Sport,2012,300000.0,Otomatik,Dizel,Sedan,Siyah,1995.0,184.0,Arkadan İtiş,Takasa Uygun,Galeriden,3.047,Şehitkamil,10,10,3,0,0,0,0.0,0,
918,İstanbul,1249000,2025-04-04 00:00:00,BMW,5 Serisi,525d xDrive Executive,2014,329000.0,Otomatik,Dizel,Sedan,Siyah,1995.0,218.0,4WD (Sürekli),Takasa Uygun,Galeriden,5.119,Avcılar,10,11,0,1,1,0,,0,
919,İzmir,2420000,2025-04-04 00:00:00,BMW,3 Serisi,320i First Edition Luxury Line,2020,53000.0,Otomatik,Benzin,Sedan,Füme,1597.0,170.0,Arkadan İtiş,Takasa Uygun,Galeriden,7577,Urla,10,13,0,0,0,0,,0,
920,İstanbul,2250000,2025-04-04 00:00:00,BMW,5 Serisi,520d Sport Line,2017,205000.0,Otomatik,Dizel,Sedan,Füme,1995.0,190.0,Arkadan İtiş,Takasa Uygun,Yetkili Bayiden,5.119,Bakırköy,10,10,0,3,0,0,,0,
921,İzmir,3890000,2025-04-04 00:00:00,BMW,4 Serisi,420i Gran Coupe Edition M Sport,2023,26409.0,Otomatik,Benzin,Coupe,Gri (metalik),1597.0,170.0,Arkadan İtiş,Takasa Uygun,Galeriden,4.434,Gaziemir,10,13,0,0,0,0,0.0,0,
922,İstanbul,3150000,2025-04-04 00:00:00,BMW,5 Serisi,520i Special Edition M Sport,2021,62000.0,Otomatik,Benzin,Sedan,Siyah,1597.0,170.0,Arkadan İtiş,Takasa Uygun,Galeriden,7577,Bağcılar,10,13,0,0,0,0,,0,
923,Adana,1845000,2025-04-04 00:00:00,BMW,5 Serisi,525d xDrive Executive,2016,183500.0,Otomatik,Dizel,Sedan,Siyah,1995.0,218.0,4WD (Sürekli),Takasa Uygun Değil,Galeriden,5.119,Seyhan,10,13,0,0,0,0,,0,
924,Gaziantep,1100000,2025-04-04 00:00:00,BMW,3 Serisi,320d Standart,2013,280000.0,Otomatik,Dizel,Sedan,Siyah,1995.0,184.0,Arkadan İtiş,Takasa Uygun,Galeriden,3.047,Şehitkamil,10,0,0,0,0,13,,0,
925,İstanbul,2198750,2025-04-04 00:00:00,BMW,3 Serisi,320i First Edition Luxury Line,2020,122000.0,Otomatik,Benzin,Sedan,Siyah,1597.0,170.0,Arkadan İtiş,Takasa Uygun,Galeriden,7577,Esenyurt,10,11,0,2,0,0,,0,
926,Kilis,1285000,2025-04-04 00:00:00,BMW,3 Serisi,320i ED 40th Year Edition,2015,140000.0,Otomatik,Benzin,Sedan,Beyaz,1500.0,163.0,Arkadan İtiş,Takasa Uygun,Belirtilmemis,3661,Merkez,10,6,5,1,1,0,,0,
927,İzmir,650000,2025-04-04 00:00:00,BMW,7 Serisi,730i Standart,1996,196000.0,Otomatik,LPG & Benzin,Sedan,Lacivert,2997.0,218.0,Arkadan İtiş,Belirtilmemis,Galeriden,2.535,Buca,10,13,0,0,0,0,,0,
928,Mersin,3575000,2025-04-04 00:00:00,BMW,5 Serisi,520i Special Edition M Sport,2022,66000.0,Otomatik,Benzin,Sedan,Mavi,1700.0,163.0,Arkadan İtiş,Takasa Uygun Değil,Belirtilmemis,17876,Erdemli,10,0,0,0,0,13,0.0,0,
929,Niğde,375000,2025-04-04 00:00:00,BMW,3 Serisi,320i,1995,367000.0,Düz,Benzin,Sedan,Mavi,1991.0,150.0,Arkadan İtiş,Belirtilmemis,Galeriden,1.198,Bor,10,13,0,0,0,0,,0,
930,Bursa,970000,2025-04-04 00:00:00,BMW,5 Serisi,530xi Standart,2005,326000.0,Otomatik,LPG & Benzin,Sedan,Siyah,2996.0,258.0,4WD (Sürekli),Takasa Uygun,Galeriden,2.535,Gemlik,10,8,0,4,1,0,,0,
931,İzmir,495000,2025-04-04 00:00:00,BMW,3 Serisi,325tds Touring,1996,535000.0,Düz,Dizel,Station wagon,Bordo,2498.0,143.0,Arkadan İtiş,Takasa Uygun,Galeriden,1.818,Buca,10,13,0,0,0,0,,0,
932,İzmir,2275000,2025-04-04 00:00:00,BMW,3 Serisi,320i First Edition M Sport,2021,91000.0,Otomatik,Benzin,Sedan,Beyaz,1500.0,163.0,Arkadan İtiş,Takasa Uygun,Belirtilmemis,7577,Gaziemir,10,10,0,0,3,0,,0,
933,Kocaeli,558500,2025-04-04 00:00:00,BMW,5 Serisi,528i Standart,2000,410000.0,Otomatik,LPG & Benzin,Sedan,Mor,2793.0,193.0,Arkadan İtiş,Takasa Uygun,Galeriden,2.535,Körfez,10,13,0,0,0,0,,0,
934,Hatay,625000,2025-04-04 00:00:00,BMW,5 Serisi,520d Standart,2007,305000.0,Otomatik,Dizel,Sedan,Siyah,1995.0,177.0,Arkadan İtiş,Belirtilmemis,Galeriden,2487,Antakya,10,0,0,0,0,13,,0,
935,Antalya,3340000,2025-04-04 00:00:00,BMW,3 Serisi,320i M Sport,2024,15000.0,Otomatik,Benzin,Sedan,Siyah,1597.0,170.0,Arkadan İtiş,Takasa Uygun,Galeriden,10112,Muratpaşa,10,13,0,0,0,0,,0,
936,Adana,1185000,2025-04-04 00:00:00,BMW,3 Serisi,318i M Sport,2015,160000.0,Otomatik,Benzin,Sedan,Mavi (metalik),1500.0,138.0,Arkadan İtiş,Takasa Uygun,Belirtilmemis,3661,Seyhan,10,8,3,0,2,0,1.0,0,40000.0
937,Samsun,1475000,2025-04-04 00:00:00,BMW,5 Serisi,525d xDrive Premium,2012,177000.0,Otomatik,Dizel,Sedan,Siyah,1995.0,218.0,4WD (Sürekli),Takasa Uygun,Galeriden,3.047,İlkadım,10,5,0,8,0,0,,0,
938,Kütahya,1048000,2025-04-04 00:00:00,BMW,3 Serisi,316i M Sport,2013,244000.0,Otomatik,Benzin,Sedan,Beyaz,1598.0,136.0,Arkadan İtiş,Takasa Uygun,Galeriden,1.135,Çavdarhisar,10,10,2,1,0,0,,0,
939,İstanbul,8400000,2025-04-04 00:00:00,BMW,i Serisi,i5 M60 xDrive,2023,0.0,Otomatik,Elektrik,Sedan,Siyah,,601.0,4WD (Sürekli),Takasa Uygun,Belirtilmemis,0,Bakırköy,10,13,0,0,0,0,,0,
940,İstanbul,2285000,2025-04-04 00:00:00,BMW,5 Serisi,520d M Sport,2017,170000.0,Otomatik,Dizel,Sedan,Gri,1900.0,188.0,Arkadan İtiş,Takasa Uygun,Belirtilmemis,10613,Ataşehir,10,8,0,3,2,0,,0,
941,Konya,1249900,2025-04-04 00:00:00,BMW,3 Serisi,320i ED 40th Year Edition,2015,207000.0,Otomatik,Benzin,Sedan,Beyaz,1500.0,163.0,Arkadan İtiş,Takasa Uygun Değil,Belirtilmemis,3661,Karatay,10,11,1,0,1,0,,0,
942,Bursa,744900,2025-04-04 00:00:00,BMW,5 Serisi,520d Premium,2009,302000.0,Otomatik,Dizel,Sedan,Siyah,1995.0,177.0,Arkadan İtiş,Takasa Uygun Değil,Yetkili Bayiden,1.198,Nilüfer,10,3,2,6,2,0,,0,
943,Kocaeli,875000,2025-04-04 00:00:00,BMW,5 Serisi,530i M Sport,2004,364000.0,Otomatik,Benzin,Sedan,Gri,3250.0,238.0,Arkadan İtiş,Takasa Uygun,Belirtilmemis,7409,Derince,10,13,0,0,0,0,,0,
944,İstanbul,749000,2025-04-04 00:00:00,BMW,3 Serisi,320d Premium,2008,240000.0,Otomatik,Dizel,Sedan,Füme,1900.0,188.0,Arkadan İtiş,Takasa Uygun,Belirtilmemis,2487,Kartal,10,9,0,3,1,0,,0,
945,İstanbul,1399000,2025-04-04 00:00:00,BMW,3 Serisi,320i ED Sport Line,2015,125000.0,Otomatik,Benzin,Sedan,Beyaz,1500.0,163.0,Arkadan İtiş,Takasa Uygun Değil,Belirtilmemis,3661,Kağıthane,10,8,0,5,0,0,,0,
946,Ankara,1797500,2025-04-04 00:00:00,BMW,5 Serisi,525d xDrive Executive Sport,2016,191000.0,Otomatik,Dizel,Sedan,Beyaz,1995.0,218.0,4WD (Sürekli),Takasa Uygun,Galeriden,5.119,,10,11,2,0,0,0,,0,
947,Aydın,1310000,2025-04-04 00:00:00,BMW,3 Serisi,320i ED Sport Line,2016,187000.0,Otomatik,Benzin,Sedan,Gri,1500.0,163.0,Arkadan İtiş,Takasa Uygun,Belirtilmemis,3661,İncirliova,10,11,0,2,0,0,,0,
948,Sakarya,2385000,2025-04-04 00:00:00,BMW,5 Serisi,520i Executive M Sport,2017,158500.0,Otomatik,Benzin,Sedan,Lacivert,1592.0,170.0,Arkadan İtiş,Takasa Uygun,Galeriden,1.606,,10,13,0,0,0,0,,0,
949,İstanbul,2650000,2025-04-04 00:00:00,BMW,5 Serisi,520i Luxury Line,2021,110000.0,Otomatik,Benzin,Sedan,Füme,1597.0,170.0,Arkadan İtiş,Takasa Uygun Değil,Galeriden,7577,Ataşehir,10,5,0,7,1,0,,0,
950,Konya,1290000,2025-04-04 00:00:00,BMW,3 Serisi,320i ED Techno Plus,2014,161000.0,Otomatik,Benzin,Sedan,Beyaz,1598.0,170.0,Arkadan İtiş,Takasa Uygun,Galeriden,1.606,Karatay,10,13,0,0,0,0,,0,
951,İstanbul,2300000,2025-04-04 00:00:00,BMW,3 Serisi,320i First Edition Sport Line,2020,83000.0,Otomatik,Benzin,Sedan,Füme,1597.0,170.0,Arkadan İtiş,Takasa Uygun Değil,Galeriden,7577,Ataşehir,10,13,0,0,0,0,,0,
953,İstanbul,1140000,2025-04-04 00:00:00,BMW,3 Serisi,318i Prestige,2016,182000.0,Otomatik,Benzin,Sedan,Beyaz,1499.0,136.0,Arkadan İtiş,Takasa Uygun,Galeriden,1.606,Bahçelievler,10,8,0,5,0,0,,0,
954,İzmir,1200000,2025-04-04 00:00:00,BMW,3 Serisi,320d M Sport,2013,280000.0,Otomatik,Dizel,Sedan,Beyaz,1995.0,184.0,Arkadan İtiş,Takasa Uygun,Galeriden,3.047,Buca,10,11,2,0,0,0,,0,
955,Konya,1245000,2025-04-04 00:00:00,BMW,5 Serisi,525d xDrive Premium,2013,274000.0,Otomatik,Dizel,Sedan,Siyah,1995.0,218.0,4WD (Sürekli),Takasa Uygun Değil,Yetkili Bayiden,3.047,Karatay,10,12,1,0,0,0,,0,
956,Konya,999000,2025-04-04 00:00:00,BMW,5 Serisi,525i xDrive Standart,2008,436000.0,Otomatik,Dizel,Sedan,Siyah,2750.0,238.0,4WD (Sürekli),Takasa Uygun,Belirtilmemis,5259,Karatay,10,3,0,9,1,0,,0,
957,Kayseri,2259900,2025-04-04 00:00:00,BMW,5 Serisi,520i Luxury Line,2017,207000.0,Otomatik,Benzin,Sedan,Siyah,1597.0,170.0,Arkadan İtiş,Takasa Uygun,Galeriden,1.606,Kocasinan,10,13,0,0,0,0,,0,
958,Konya,650000,2025-04-04 00:00:00,BMW,5 Serisi,520i Standart,2005,460000.0,Otomatik,LPG & Benzin,Sedan,Siyah,2171.0,170.0,Arkadan İtiş,Takasa Uygun,Galeriden,1.818,Karatay,10,3,0,8,2,0,,0,
959,Diyarbakır,820000,2025-04-04 00:00:00,BMW,1 Serisi,118i Joy Plus,2015,162000.0,Otomatik,Benzin,Hatchback/5,Siyah,1499.0,136.0,Arkadan İtiş,Takasa Uygun,Galeriden,1.606,Bağlar,10,7,1,2,3,0,,0,
960,Gaziantep,880000,2025-04-04 00:00:00,BMW,3 Serisi,320d Standart,2011,118000.0,Otomatik,Dizel,Sedan,Siyah,1995.0,184.0,Arkadan İtiş,Takasa Uygun Değil,Galeriden,3.047,Şehitkamil,10,13,0,0,0,0,,0,
961,Ankara,3235000,2025-04-04 00:00:00,BMW,3 Serisi,320i M Sport,2023,19000.0,Otomatik,Benzin,Sedan,Gri,1597.0,170.0,Arkadan İtiş,Takasa Uygun Değil,Galeriden,10112,Çankaya,10,13,0,0,0,0,,0,
962,Kocaeli,595000,2025-04-08 00:00:00,Fiat,Egea,1.4 Fire Urban,2017,128000.0,Düz,LPG & Benzin,Sedan,Füme,1368.0,95.0,Önden Çekiş,Belirtilmemis,Sahibinden,1.606,Derince,6,10,1,0,2,0,,0,
963,İstanbul,265000,2025-04-08 00:00:00,Fiat,Albea,Sole 1.3 Multijet Active,2008,269000.0,Düz,Dizel,Sedan,Gri,1248.0,70.0,Önden Çekiş,Belirtilmemis,Sahibinden,499,Esenyurt,6,1,0,11,1,0,,0,
964,Adana,505000,2025-04-07 00:00:00,Fiat,Punto,Grande 1.3 Multijet Active,2011,215000.0,Düz,Dizel,Hatchback/5,Gri,1248.0,75.0,Önden Çekiş,Takasa Uygun Değil,Belirtilmemis,623.0,Çukurova,7,9,4,0,0,0,,0,
965,Nevşehir,400000,2025-04-07 00:00:00,Fiat,Linea,1.3 Multijet Active Plus,2011,280000.0,Düz,Dizel,Sedan,Gri (Gümüş),1248.0,90.0,Önden Çekiş,Takasa Uygun Değil,Belirtilmemis,623.0,Merkez,7,13,0,0,0,0,,0,
966,Antalya,767000,2025-04-07 00:00:00,Fiat,Egea,1.3 Multijet Easy,2021,87800.0,Düz,Dizel,Sedan,Beyaz,1248.0,95.0,Önden Çekiş,Takasa Uygun Değil,Belirtilmemis,4042,Serik,7,13,0,0,0,0,,0,
967,Gaziantep,795000,2025-04-05 00:00:00,Fiat,Egea,1.3 Multijet Urban Plus,2020,141500.0,Düz,Dizel,Sedan,Beyaz,1248.0,95.0,Önden Çekiş,Belirtilmemis,Belirtilmemis,4042,Şehitkamil,9,13,0,0,0,0,,0,
968,İzmir,285000,2025-04-05 00:00:00,Fiat,Palio,1.2 EL,2003,207000.0,Düz,LPG & Benzin,Hatchback/5,Mavi,1300.0,88.0,Önden Çekiş,Belirtilmemis,Belirtilmemis,499,Gaziemir,9,6,0,6,1,0,,0,
969,Antalya,595000,2025-04-04 00:00:00,Fiat,Egea,1.4 Fire Easy,2019,174500.0,Düz,Benzin,Sedan,Beyaz,1368.0,95.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,2.769,Kepez,10,0,3,0,0,10,,0,
970,Aydın,597750,2025-04-03 00:00:00,Fiat,Linea,1.4 Fire Easy,2014,77000.0,Düz,Benzin,Sedan,Beyaz,1368.0,77.0,Önden Çekiş,Takasa Uygun Değil,Belirtilmemis,1.606,Yenipazar,11,13,0,0,0,0,,0,
971,Antalya,740000,2025-04-03 00:00:00,Fiat,Egea,1.3 Multijet Easy,2020,94000.0,Düz,Dizel,Sedan,Beyaz,1248.0,95.0,Önden Çekiş,Takasa Uygun Değil,Belirtilmemis,4042,Serik,11,13,0,0,0,0,,0,
972,Kocaeli,605000,2025-04-03 00:00:00,Fiat,Egea,1.4 Fire Easy,2017,141900.0,Düz,Benzin,Sedan,Beyaz,1368.0,95.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,1.606,Gölcük,11,10,0,0,1,2,,0,
973,Kahramanmaraş,575000,2025-04-02 00:00:00,Fiat,Egea,1.4 Fire Urban,2016,68000.0,Düz,Benzin,Sedan,Füme,1368.0,95.0,Önden Çekiş,Belirtilmemis,Belirtilmemis,3661,Dulkadiroğlu,12,13,0,0,0,0,,0,
974,Kayseri,379000,2025-04-01 00:00:00,Fiat,Linea,1.4 Fire Actual Plus,2015,308000.0,Düz,LPG & Benzin,Sedan,Beyaz,1368.0,77.0,Önden Çekiş,Belirtilmemis,Sahibinden,1.606,Talas,13,10,0,0,3,0,,0,
975,Konya,650000,2025-04-01 00:00:00,Fiat,Egea,1.3 Multijet Easy Plus,2017,206000.0,Düz,Dizel,Hatchback/5,Beyaz,1248.0,95.0,Önden Çekiş,Belirtilmemis,Galeriden,826.0,,13,7,1,0,2,3,,0,
976,Aydın,950000,2025-03-30 00:00:00,Fiat,Egea,1.4 Fire Urban,2022,56500.0,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1368.0,95.0,Önden Çekiş,Belirtilmemis,Sahibinden,10112,Didim,15,13,0,0,0,0,,0,
977,Gaziantep,614999,2025-03-30 00:00:00,Fiat,Egea,1.3 Multijet Easy,2020,112000.0,Düz,Dizel,Sedan,Beyaz,1248.0,95.0,Önden Çekiş,Belirtilmemis,Galeriden,4042,Nizip,15,7,0,5,1,0,,0,
978,İzmir,875000,2025-03-29 00:00:00,Fiat,Egea,1.3 Multijet Easy,2022,19975.0,Düz,Dizel,Sedan,Beyaz,1248.0,95.0,Önden Çekiş,Belirtilmemis,Galeriden,2.545,Ödemiş,16,13,0,0,0,0,,0,
980,İstanbul,729000,2025-03-28 00:00:00,Fiat,Egea,1.3 Multijet Easy Plus,2021,75000.0,Düz,Dizel,Sedan,Beyaz,1300.0,88.0,Önden Çekiş,Belirtilmemis,Belirtilmemis,4042,Bağcılar,17,8,0,3,2,0,,0,
981,Gaziantep,665000,2025-03-24 00:00:00,Fiat,Egea,1.3 Multijet Easy,2020,129000.0,Düz,Dizel,Sedan,Beyaz,1248.0,95.0,Önden Çekiş,Belirtilmemis,Sahibinden,4042,Şehitkamil,21,0,0,2,0,11,,0,
982,İstanbul,735000,2025-03-19 00:00:00,Fiat,500 Ailesi,500L 1.6 Mjet RockStar,2015,110000.0,Düz,Dizel,MPV,Beyaz,1598.0,105.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,1.606,Bahçelievler,26,0,2,1,0,10,,0,
983,Bursa,479000,2025-03-14 00:00:00,Fiat,Linea,1.3 Multijet Active Plus,2012,163000.0,Düz,Dizel,Sedan,Beyaz,1248.0,90.0,Önden Çekiş,Belirtilmemis,Belirtilmemis,623.0,Osmangazi,31,0,2,0,1,10,,0,
984,Gaziantep,198000,2025-02-09 00:00:00,Fiat,Palio,1.3 Multijet SL,2004,307000.0,Düz,Dizel,Hatchback/5,Mavi (metalik),1248.0,70.0,Önden Çekiş,Belirtilmemis,Sahibinden,499,Şahinbey,64,0,0,10,3,0,,0,
985,Mardin,290000,2025-04-07 00:00:00,Fiat,Marea,1.6 Liberty,2004,198000.0,Düz,LPG & Benzin,Sedan,Kırmızı,1596.0,103.0,Önden Çekiş,Belirtilmemis,Belirtilmemis,436.0,Artuklu,7,0,0,0,0,13,,0,
986,Adana,689000,2025-04-07 00:00:00,Fiat,Egea,1.3 Multijet Easy,2020,139000.0,Düz,Dizel,Sedan,Beyaz,1248.0,95.0,Önden Çekiş,Belirtilmemis,Belirtilmemis,4042,Seyhan,7,12,0,0,1,0,,0,
987,Ankara,225000,2025-04-07 00:00:00,Fiat,Siena,1.4 EL,2000,269000.0,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1372.0,71.0,Önden Çekiş,Belirtilmemis,Galeriden,436.0,Mamak,7,0,0,0,0,13,,0,
988,Bursa,340000,2025-04-07 00:00:00,Fiat,Albea,1.2 EL,2006,233000.0,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1242.0,80.0,Önden Çekiş,Belirtilmemis,Sahibinden,219.0,Yıldırım,7,10,0,2,1,0,,0,
989,Elazığ,655000,2025-04-07 00:00:00,Fiat,Egea,1.4 Fire Easy,2020,130000.0,Düz,Benzin,Sedan,Gri,1368.0,95.0,Önden Çekiş,Belirtilmemis,Galeriden,7577,Merkez,7,13,0,0,0,0,,0,
990,İzmir,155000,2025-04-07 00:00:00,Fiat,Tempra,2.0 ie,1995,135000.0,Düz,LPG & Benzin,Sedan,Şampanya,1995.0,113.0,Önden Çekiş,Belirtilmemis,Galeriden,1.198,Gaziemir,7,0,0,13,0,0,,0,
991,Ankara,658850,2025-04-07 00:00:00,Fiat,Egea,1.3 Multijet Easy,2021,123000.0,Düz,Dizel,Sedan,Beyaz,1248.0,95.0,Önden Çekiş,Takasa Uygun Değil,Belirtilmemis,4042,Altındağ,7,10,0,1,2,0,,0,
