,City,Price(TL),ListingDate,Brand,Series,Model,Year,Kilometers,GearType,FuelType,BodyType,Color,EngineSize,EnginePower,DriveType,TradeInStatus,SellerType,VehicleTax(),District,DaysSinceListing,NumOriginalParts,NumLocalPaintedParts,NumPaintedParts,NumChangedParts,NumUnknownParts,HasDamage,HasHighDamage,DamageCost
20,Bursa,1025000,2025-04-08 00:00:00,Audi,A4,A4 Sedan 2.0 TDI,2015,323000.0,Otomatik,Dizel,Sedan,Beyaz,1968.0,150.0,Önden Çekiş,Belirtilmemis,Sahibinden,10613,Osmangazi,6,0,3,1,0,9,1.0,0,8500.0
21,Trabzon,895000,2025-04-07 00:00:00,Audi,A6,A6 Sedan 2.0 TDI,2011,286000.0,Otomatik,Dizel,Sedan,Siyah,1998.0,177.0,Önden Çekiş,Takasa Uygun,Galeriden,3.047,Akçaabat,7,7,1,1,4,0,,0,
22,Erzurum,985000,2025-04-07 00:00:00,Audi,A3,A3 Sportback 1.6 TDI Ambition,2013,212000.0,Otomatik,Dizel,Hatchback/5,Beyaz,1500.0,113.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,2587,,7,13,0,0,0,0,,0,
23,Adana,4165000,2025-04-07 00:00:00,Audi,A6,A6 Sedan 40 TDI Quattro Sport,2021,62000.0,Otomatik,Dizel,Sedan,Gri,1900.0,213.0,4WD (Sürekli),Takasa Uygun,Belirtilmemis,21677,Seyhan,7,13,0,0,0,0,,0,
24,Gaziantep,940000,2025-04-07 00:00:00,Audi,A3,A3 Sedan 1.6 TDI Ambiente,2015,270000.0,Otomatik,Dizel,Sedan,Beyaz,1500.0,113.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,3661,,7,10,1,1,1,0,,0,
25,İstanbul,1450000,2025-04-07 00:00:00,Audi,A3,A3 Sedan 1.0 TFSI Sport Line,2017,68000.0,Yarı Otomatik,Benzin,Sedan,Siyah,999.0,116.0,Önden Çekiş,Takasa Uygun Değil,Sahibinden,826.0,Maltepe,7,12,0,1,0,0,0.0,0,
26,Adana,822000,2025-04-07 00:00:00,Audi,A3,A3 Sportback 1.6 TDI Ambiente,2012,212000.0,Otomatik,Dizel,Hatchback/5,Beyaz,1500.0,113.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,2587,Seyhan,7,13,0,0,0,0,,0,
27,İstanbul,11750000,2025-04-07 00:00:00,Audi,A8,55 TFSI Quattro Long,2022,57000.0,Otomatik,Benzin,Sedan,Siyah,2995.0,340.0,4WD (Sürekli),Takasa Uygun Değil,Galeriden,58884,Sarıyer,7,13,0,0,0,0,,0,
28,Sivas,2685058,2025-04-07 00:00:00,Audi,A4,A4 Sedan 40 TDI S Line,2019,79000.0,Otomatik,Dizel,Sedan,Füme,1900.0,188.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,21677,Merkez,7,12,1,0,0,0,,0,
29,Bursa,530000,2025-04-08 00:00:00,Audi,A3,A3 Sportback 1.6 Sportback Standart,2008,388000.0,Düz,LPG & Benzin,Hatchback/5,Siyah,1595.0,102.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Osmangazi,6,1,1,10,1,0,0.0,0,
